entity_id,chain,address,mintFunction,honeypot,ownershipRenounce,hiddenOwner,openSource,blacklist,raw_keys
mai,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,False,False,True,False,False,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mai,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
monerium,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
monerium,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
monerium,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
monerium,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
monerium,,,False,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
mstable,,,False,False,True,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
neutrino-usd,,,False,False,True,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
neutrino-usd,,,False,False,True,True,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
nxusd,,,True,False,False,False,True,False,antiWhale|balanceModifiable|blacklist|buyTax|creatorAddress|creatorPercentage|externalCallRisk|hiddenOwner|honeypot|mintFunction|modifiableAntiWhale|modifiableTax|openSource|ownerAddress|ownerPercentage|ownershipRenounce|proxyContract|retrieveOwnership|selfDestruct|sellTax|tokenAddress|tokenAge|tokenInfo|transferPausable
